사바,70,167
타사,87,156
가카,55,189
라하,73,150
바사,52,174
아마,82,140
사라,55,148
차바,44,191
마가,68,174
아바,63,189
아가,53,141
바카,56,199
차바,43,175
파라,88,153
카파,67,143
아다,90,173
가바,78,186
나차,80,150
가마,63,165
사자,77,141
자카,46,173
다다,85,194
타라,50,156
가자,85,192
파자,85,149
사하,96,180
마라,90,163
차바,47,192
라차,44,154
사자,45,145
가카,72,156
마자,92,161
바차,53,173
카라,95,152
라파,59,183
아라,75,141
자카,56,161
아하,41,148
마자,43,188
하라,88,176
마파,65,141
바사,64,173
바나,57,175
하라,89,170
파가,71,146
마사,90,186
타가,80,150
다파,49,192
가바,65,150
파다,47,175
다가,49,185
마라,50,184
아라,73,184
하아,76,166
차자,93,191
아마,49,148
파가,88,199
다타,89,151
가하,69,177
가마,50,196
아아,91,161
자사,70,151
아파,59,149
가차,96,145
마파,87,197
마라,71,191
가파,50,158
하다,78,185
다사,77,143
파라,93,197
파아,50,198
바자,57,156
나타,66,194
자사,56,165
아타,85,172
아다,75,175
가나,84,149
나사,61,149
자사,43,164
가자,75,196
파사,73,165
다파,46,171
아나,45,196
자차,85,195
자다,88,153
카마,53,140
파나,93,171
차사,54,188
아카,65,199
자다,79,152
바라,40,170
타차,86,178
마사,59,156
타나,55,175
마바,81,147
라하,99,198
나사,51,163
아라,79,157
사나,97,172
라차,85,161
마나,80,193
마가,58,189
파아,99,185
자하,60,195
자아,88,164
다라,93,196
마가,93,183
아바,55,154
나차,40,159
하바,49,166
파타,83,142
하라,43,191
라바,49,169
가타,50,153
가하,82,154
카파,50,158
라아,54,156
차카,79,197
바파,68,158
차차,49,166
가아,47,188
사카,55,199
가자,40,195
다마,74,182
하아,87,142
차자,43,173
자다,77,197
파나,84,146
나라,83,182
타가,97,180
하마,58,140
하차,54,169
바다,44,148
자아,77,164
아사,67,177
사나,50,163
카카,80,140
파차,90,150
하가,50,177
차차,83,174
마사,47,161
나타,51,181
자하,43,174
사가,70,169
자아,73,159
다차,75,149
아마,41,153
다마,91,199
나라,53,192
하나,89,153
라바,80,161
아타,45,196
아타,80,167
라타,73,159
라파,41,168
아다,75,177
파타,85,175
다카,41,165
아나,57,146
자라,91,179
파다,86,182
다나,79,199
차라,85,160
아아,91,154
파사,88,145
파마,77,142
타가,77,174
나라,75,143
마마,49,168
하타,43,140
자자,85,158
자타,52,180
다타,42,156
사마,57,176
가자,46,188
차나,48,192
차파,97,166
차타,60,193
사파,54,145
파가,40,196
마카,61,185
나하,58,173
파하,92,178
라가,46,174
차차,72,192
차마,74,141
타파,92,176
아타,80,192
하타,65,141
자나,78,157
나사,44,155
자바,57,152
차하,61,175
라바,74,176
라마,56,194
자마,58,153
나사,93,154
하사,70,162
차파,83,177
카카,52,173
나바,59,192
차라,50,193
나차,80,186
타카,62,170
카다,50,171
다아,65,160
하하,52,157
차다,50,198
타가,89,153
라가,75,155
타가,52,171
마마,52,192
자다,75,183
나아,46,177
바하,58,151
나다,53,172
바아,69,166
다카,57,164
파타,46,179
바파,83,153
마다,62,186
바사,66,147
사마,84,141
파사,72,191
파아,69,163
타가,97,192
다라,53,164
다카,41,158
하파,50,191
파파,75,178
파마,95,154
바가,76,147
하라,76,150
타타,52,175
나아,58,197
차자,42,188
타차,84,191
가카,60,195
바차,85,154
마바,88,151
사카,71,153
타하,67,156
다사,81,190
다가,77,179
바가,83,150
가타,62,177
파파,58,159
마아,86,163
사파,84,147
사라,63,141
가나,46,180
사가,67,167
바하,86,178
타마,68,143
아타,65,178
타차,74,141
파하,49,186
가사,51,190
다파,42,149
차마,64,181
차파,47,156
가다,97,154
타타,78,184
라라,47,163
다바,95,194
라자,90,162
타타,94,144
마차,54,159
파가,46,148
카사,48,156
바라,91,158
파바,83,175
마타,48,188
타하,55,152
가마,51,146
마다,41,165
차하,91,144
자타,72,196
다라,73,176
파라,61,185
하가,69,186
타바,90,178
타나,91,172
마나,98,178
사타,65,180
가사,43,183
마가,87,154
하마,68,183
바파,75,188
라다,49,183
사카,96,185
나다,64,150
마타,66,147
사파,67,160
차가,66,164
마아,92,162
가다,89,152
타다,48,165
다마,52,185
라다,42,161
타마,62,150
파라,66,158
카바,65,147
사차,88,142
나카,71,150
타바,58,153
나차,72,147
나다,83,166
하타,82,142
마카,45,188
차라,95,156
카하,77,193
나아,81,163
자하,79,165
아라,42,148
마나,96,143
하아,91,177
나나,54,140
라라,40,191
라아,96,155
타가,52,198
라차,58,154
자사,97,197
하자,52,157
가타,54,141
아나,43,141
차자,89,168
라가,99,163
사타,75,164
바다,88,173
가타,72,179
자다,82,180
마하,75,184
바하,40,156
가라,93,195
라타,88,181
사가,88,180
아마,90,192
나바,61,177
나카,59,175
바자,41,157
다다,51,160
카카,84,165
라차,57,163
하아,98,170
마사,67,174
파아,41,148
차라,70,173
다가,71,152
가카,40,150
라사,63,142
가자,91,149
마타,67,151
라마,81,157
카가,95,164
타자,90,168
자바,96,181
마하,86,165
하마,40,151
하카,61,163
자아,80,194
차카,52,181
차바,53,156
마카,54,176
가다,61,161
카카,62,174
가가,53,188
타파,87,165
카마,74,162
마차,65,170
라하,44,144
타아,99,144
나나,64,196
바사,99,141
나하,85,182
나사,68,194
자파,97,185
바자,93,169
나바,86,187
아카,73,177
다나,82,176
파하,75,164
마나,58,181
카카,48,142
가바,65,156
가라,64,198
사마,70,177
자가,40,154
사카,94,159
사가,74,173
